,origin_name,destination_name,originregion_name,destinationregion_name,countryflow_2019
21816,BIOTECNOLOGIA,BIOTECNOLOGIA,CC,CC,1
24351,BIOTECNOLOGIA,BIOTECNOLOGIA,CC,CC,1
24355,BIOTECNOLOGIA,BIOTECNOLOGIA,CC,CC,1
25717,BIOTECNOLOGIA,BIOTECNOLOGIA,CC,CC,1
28183,BIOTECNOLOGIA,BIOTECNOLOGIA,CC,CC,1
29396,BIOTECNOLOGIA,BIOTECNOLOGIA,CC,CC,1
30021,BIOTECNOLOGIA,BIOTECNOLOGIA,CC,CC,1
30836,BIOTECNOLOGIA,BIOTECNOLOGIA,CC,CC,1
32509,BIOTECNOLOGIA,BIOTECNOLOGIA,CC,CC,1
32616,BIOTECNOLOGIA,BIOTECNOLOGIA,CC,CC,1
33540,BIOTECNOLOGIA,BIOTECNOLOGIA,CC,CC,1
24353,BIOTECNOLOGIA,CIÊNCIAS BIOLÓGICAS,CC,CC,1
24361,BIOTECNOLOGIA,CIÊNCIAS BIOLÓGICAS,CC,CC,1
26031,BIOTECNOLOGIA,CIÊNCIAS BIOLÓGICAS,CC,CC,1
27575,BIOTECNOLOGIA,CIÊNCIAS BIOLÓGICAS,CC,CC,1
27577,BIOTECNOLOGIA,CIÊNCIAS BIOLÓGICAS,CC,CC,1
28188,BIOTECNOLOGIA,CIÊNCIAS BIOLÓGICAS,CC,CC,1
28189,BIOTECNOLOGIA,CIÊNCIAS BIOLÓGICAS,CC,CC,1
29118,BIOTECNOLOGIA,CIÊNCIAS BIOLÓGICAS,CC,CC,1
29119,BIOTECNOLOGIA,CIÊNCIAS BIOLÓGICAS,CC,CC,1
30839,BIOTECNOLOGIA,CIÊNCIAS BIOLÓGICAS,CC,CC,1
31288,BIOTECNOLOGIA,CIÊNCIAS BIOLÓGICAS,CC,CC,1
31289,BIOTECNOLOGIA,CIÊNCIAS BIOLÓGICAS,CC,CC,1
31537,BIOTECNOLOGIA,CIÊNCIAS BIOLÓGICAS,CC,CC,1
31540,BIOTECNOLOGIA,CIÊNCIAS BIOLÓGICAS,CC,CC,1
31545,BIOTECNOLOGIA,CIÊNCIAS BIOLÓGICAS,CC,CC,1
31548,BIOTECNOLOGIA,CIÊNCIAS BIOLÓGICAS,CC,CC,1
32429,BIOTECNOLOGIA,CIÊNCIAS BIOLÓGICAS,CC,CC,1
33417,BIOTECNOLOGIA,CIÊNCIAS BIOLÓGICAS,CC,CC,1
